,score_train,score_test,rmse,mae
GS_bagging,0.5580125983634587,0.151201815553055,0.07348753884218653,0.055928766881642576
GS_RF_MSE,0.5658586376419823,0.14828533161828694,0.07361368274763269,0.05616620364656564
GS_RF_MAE,0.5706681634793864,0.1454552293415855,0.07373588416145536,0.05566344522553615
bagging_op,0.5766203258291256,0.13916781420289093,0.07400664731513872,0.055767969338043316
GS_RF_MSE2,0.38781810275995665,0.1323431300967891,0.074299430794299,0.05611800360756604
rfr_op,0.5751996609869877,0.12851265748650254,0.07446325622207227,0.05696985423404857
RFR,0.8809989450741317,0.09088722737941823,0.07605370249289245,0.0583744930366448
GS_boosting,0.49529955059692454,0.08577500757531953,0.07626723935940498,0.05973523959222881
dummy,0.0,-0.010230022304842157,0.08017179682566819,0.06011820689328504
bagging,0.8092591527320048,-0.028548324140088344,0.08089540101263053,0.06248807075577126
boosting_op,0.8980644114620048,-0.07673753776862857,0.08276875234990318,0.059563050831059144
GradBoost,0.9984797289269406,-0.38577598001960567,0.09389835769931457,0.06879961936936607
